Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Year,RoundNumber
0 days 01:11:40.023000,ALB,23,0 days 00:02:11.613000,7.0,1.0,,0 days 01:11:39.002000,0 days 00:00:43.958000,0 days 00:00:42.788000,0 days 00:00:44.867000,0 days 01:10:12.403000,0 days 01:10:55.191000,0 days 01:11:40.058000,180.0,148.0,,253.0,False,MEDIUM,7.0,True,Williams,0 days 01:09:28.410000,,24,12.0,,,False,False,2024,2
0 days 01:14:39.995000,ALB,23,,8.0,2.0,0 days 01:12:00.635000,,0 days 00:01:07.007000,0 days 00:00:54.858000,0 days 00:00:58.118000,0 days 01:12:47.160000,0 days 01:13:42.009000,0 days 01:14:40.161000,223.0,109.0,276.0,155.0,False,HARD,1.0,True,Williams,0 days 01:11:40.023000,,4,14.0,,,False,False,2024,2
0 days 02:07:49.836000,ZHO,24,0 days 00:01:36.379000,41.0,1.0,,0 days 02:07:48.876000,0 days 00:00:34.611000,0 days 00:00:29.551000,0 days 00:00:32.217000,0 days 02:06:48.076000,0 days 02:07:17.627000,0 days 02:07:49.844000,284.0,300.0,,303.0,False,MEDIUM,41.0,True,Kick Sauber,0 days 02:06:13.457000,,1,10.0,,,False,False,2024,2
0 days 02:10:07.228000,ZHO,24,0 days 00:02:17.392000,42.0,2.0,0 days 02:08:35.225000,,0 days 00:01:18.203000,0 days 00:00:29.657000,0 days 00:00:29.532000,0 days 02:09:08.047000,0 days 02:09:37.704000,0 days 02:10:07.236000,281.0,298.0,292.0,300.0,False,SOFT,1.0,True,Kick Sauber,0 days 02:07:49.836000,,1,18.0,,,False,False,2024,2
0 days 01:55:07.879000,HUL,27,0 days 00:01:36.601000,33.0,1.0,,0 days 01:55:06.911000,0 days 00:00:34.574000,0 days 00:00:29.670000,0 days 00:00:32.357000,0 days 01:54:05.918000,0 days 01:54:35.588000,0 days 01:55:07.945000,288.0,301.0,,306.0,False,MEDIUM,33.0,True,Haas F1 Team,0 days 01:53:31.278000,,1,10.0,,,False,False,2024,2
0 days 01:56:59.742000,HUL,27,0 days 00:01:51.863000,34.0,2.0,0 days 01:55:28.018000,,0 days 00:00:52.578000,0 days 00:00:29.706000,0 days 00:00:29.579000,0 days 01:56:00.523000,0 days 01:56:30.229000,0 days 01:56:59.808000,282.0,298.0,294.0,302.0,False,HARD,1.0,True,Haas F1 Team,0 days 01:55:07.879000,,1,11.0,,,False,False,2024,2
0 days 01:11:43.546000,RIC,3,0 days 00:02:12.474000,7.0,1.0,,0 days 01:11:42.435000,0 days 00:00:45.442000,0 days 00:00:42.229000,0 days 00:00:44.803000,0 days 01:10:16.543000,0 days 01:10:58.772000,0 days 01:11:43.575000,163.0,160.0,,229.0,False,MEDIUM,7.0,True,RB,0 days 01:09:31.072000,,24,14.0,,,False,False,2024,2
0 days 01:14:57.232000,RIC,3,,8.0,2.0,0 days 01:12:45.853000,,,0 days 00:00:44.279000,0 days 00:00:42.299000,,0 days 01:14:15.147000,0 days 01:14:57.425000,179.0,149.0,266.0,147.0,False,HARD,1.0,True,RB,0 days 01:11:43.546000,,4,18.0,,,False,False,2024,2
0 days 01:11:45.679000,OCO,31,0 days 00:02:12.702000,7.0,1.0,,0 days 01:11:44.650000,0 days 00:00:45.335000,0 days 00:00:41.714000,0 days 00:00:45.653000,0 days 01:10:18.371000,0 days 01:11:00.085000,0 days 01:11:45.738000,188.0,159.0,,226.0,False,MEDIUM,7.0,True,Alpine,0 days 01:09:32.977000,,24,15.0,,,False,False,2024,2
0 days 01:14:41.996000,OCO,31,,8.0,2.0,0 days 01:12:07.175000,,0 days 00:01:03.564000,0 days 00:00:53.661000,0 days 00:00:59.143000,0 days 01:12:49.437000,0 days 01:13:43.140000,0 days 01:14:42.142000,217.0,116.0,257.0,140.0,False,HARD,1.0,True,Alpine,0 days 01:11:45.679000,,4,15.0,,,False,False,2024,2
