Year,RoundNumber,EventName,DriverNumber,Abbreviation,FullName,LapNumber,PitInTime,PitStopDuration,Compound,TyreLife,NextCompound
2018,9,Austrian Grand Prix,2,VAN,VAN,65.0,0 days 01:25:29.153000,,SOFT,25.0,
2018,9,Austrian Grand Prix,20,MAG,MAG,28.0,0 days 00:40:11.128000,,ULTRASOFT,30.0,
2018,9,Austrian Grand Prix,3,RIC,RIC,15.0,0 days 00:24:32.397000,,SUPERSOFT,17.0,
2018,9,Austrian Grand Prix,3,RIC,RIC,38.0,0 days 00:51:21.508000,,SOFT,23.0,
2018,9,Austrian Grand Prix,31,OCO,OCO,15.0,0 days 00:24:54.929000,,SUPERSOFT,14.0,
2018,9,Austrian Grand Prix,33,VER,VER,15.0,0 days 00:24:26.710000,,SUPERSOFT,17.0,
2018,9,Austrian Grand Prix,35,SIR,SIR,24.0,0 days 00:35:54.545000,,SUPERSOFT,23.0,
2018,9,Austrian Grand Prix,35,SIR,SIR,60.0,0 days 01:18:26.120000,,SOFT,36.0,
2018,9,Austrian Grand Prix,44,HAM,HAM,25.0,0 days 00:36:08.952000,,SUPERSOFT,26.0,
2018,9,Austrian Grand Prix,44,HAM,HAM,52.0,0 days 01:07:21.068000,,SOFT,27.0,
2018,9,Austrian Grand Prix,5,VET,VET,15.0,0 days 00:24:34.757000,,ULTRASOFT,17.0,
2018,9,Austrian Grand Prix,55,SAI,SAI,15.0,0 days 00:24:57.322000,,ULTRASOFT,17.0,
2018,9,Austrian Grand Prix,55,SAI,SAI,34.0,0 days 00:47:34.552000,,SOFT,19.0,
2018,9,Austrian Grand Prix,7,RAI,RAI,15.0,0 days 00:24:30.850000,,ULTRASOFT,17.0,
2018,9,Austrian Grand Prix,8,GRO,GRO,15.0,0 days 00:24:46.204000,,ULTRASOFT,17.0,
2018,9,Austrian Grand Prix,9,ERI,ERI,45.0,0 days 01:00:19.160000,,SOFT,44.0,
2018,10,British Grand Prix,10,GAS,GAS,20.0,0 days 00:39:19.691000,,SOFT,19.0,
