Year,RoundNumber,EventName,EventDate,Driver,DriverNumber,Team,LapNumber,LapTime,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,TrackStatus,Position,IsAccurate
2018,1,Australian Grand Prix,2018-03-25,ALO,14,McLaren,2.0,0 days 00:01:31.565000,1.0,,,0 days 00:00:30.482000,0 days 00:00:24.593000,0 days 00:00:36.490000,266.0,287.0,279.0,273.0,True,ULTRASOFT,1.0,True,,10.0,False
2018,1,Australian Grand Prix,2018-03-25,ALO,14,McLaren,3.0,0 days 00:01:31.304000,1.0,,,0 days 00:00:30.619000,0 days 00:00:24.376000,0 days 00:00:36.309000,263.0,281.0,283.0,280.0,True,ULTRASOFT,2.0,True,,10.0,False
2018,1,Australian Grand Prix,2018-03-25,ALO,14,McLaren,4.0,0 days 00:01:30.551000,1.0,,,0 days 00:00:30.031000,0 days 00:00:24.386000,0 days 00:00:36.134000,268.0,285.0,284.0,288.0,True,ULTRASOFT,3.0,True,,10.0,False
2018,1,Australian Grand Prix,2018-03-25,ALO,14,McLaren,5.0,0 days 00:01:31.910000,1.0,,,0 days 00:00:30.524000,0 days 00:00:24.550000,0 days 00:00:36.836000,263.0,286.0,281.0,283.0,False,ULTRASOFT,4.0,True,21.0,10.0,True
2018,1,Australian Grand Prix,2018-03-25,ALO,14,McLaren,6.0,0 days 00:01:31.731000,1.0,,,0 days 00:00:30.531000,0 days 00:00:24.504000,0 days 00:00:36.696000,265.0,286.0,282.0,266.0,False,ULTRASOFT,5.0,True,12.0,10.0,True
2018,1,Australian Grand Prix,2018-03-25,ALO,14,McLaren,7.0,0 days 00:01:31.167000,1.0,,,0 days 00:00:30.449000,0 days 00:00:24.307000,0 days 00:00:36.411000,261.0,284.0,281.0,263.0,False,ULTRASOFT,6.0,True,21.0,10.0,True
2018,1,Australian Grand Prix,2018-03-25,ALO,14,McLaren,8.0,0 days 00:01:30.926000,1.0,,,0 days 00:00:30.468000,0 days 00:00:24.244000,0 days 00:00:36.214000,262.0,279.0,280.0,266.0,False,ULTRASOFT,7.0,True,1.0,10.0,True
2018,1,Australian Grand Prix,2018-03-25,ALO,14,McLaren,9.0,0 days 00:01:30.407000,1.0,,,0 days 00:00:30.157000,0 days 00:00:24.264000,0 days 00:00:35.986000,263.0,282.0,281.0,279.0,True,ULTRASOFT,8.0,True,1.0,10.0,True
2018,1,Australian Grand Prix,2018-03-25,ALO,14,McLaren,10.0,0 days 00:01:30.985000,1.0,,,0 days 00:00:30.494000,0 days 00:00:24.281000,0 days 00:00:36.210000,268.0,291.0,294.0,270.0,False,ULTRASOFT,9.0,True,12.0,10.0,True
2018,1,Australian Grand Prix,2018-03-25,ALO,14,McLaren,11.0,0 days 00:01:30.872000,1.0,,,0 days 00:00:30.164000,0 days 00:00:24.482000,0 days 00:00:36.226000,264.0,283.0,280.0,292.0,False,ULTRASOFT,10.0,True,1.0,10.0,True
2018,1,Australian Grand Prix,2018-03-25,ALO,14,McLaren,12.0,0 days 00:01:30.492000,1.0,,,0 days 00:00:30.188000,0 days 00:00:24.227000,0 days 00:00:36.077000,266.0,285.0,281.0,275.0,False,ULTRASOFT,11.0,True,1.0,10.0,True
2018,1,Australian Grand Prix,2018-03-25,ALO,14,McLaren,13.0,0 days 00:01:30.171000,1.0,,,0 days 00:00:30.141000,0 days 00:00:24.071000,0 days 00:00:35.959000,263.0,282.0,281.0,284.0,True,ULTRASOFT,12.0,True,1.0,10.0,True
2018,1,Australian Grand Prix,2018-03-25,ALO,14,McLaren,14.0,0 days 00:01:30.069000,1.0,,,0 days 00:00:30.134000,0 days 00:00:24.198000,0 days 00:00:35.737000,266.0,285.0,282.0,281.0,True,ULTRASOFT,13.0,True,1.0,10.0,True
2018,1,Australian Grand Prix,2018-03-25,ALO,14,McLaren,15.0,0 days 00:01:30.501000,1.0,,,0 days 00:00:30.295000,0 days 00:00:24.119000,0 days 00:00:36.087000,261.0,284.0,280.0,274.0,False,ULTRASOFT,14.0,True,1.0,10.0,True
2018,1,Australian Grand Prix,2018-03-25,ALO,14,McLaren,16.0,0 days 00:01:29.985000,1.0,,,0 days 00:00:29.960000,0 days 00:00:24.088000,0 days 00:00:35.937000,260.0,286.0,282.0,272.0,True,ULTRASOFT,15.0,True,1.0,10.0,True
2018,1,Australian Grand Prix,2018-03-25,ALO,14,McLaren,17.0,0 days 00:01:30.266000,1.0,,,0 days 00:00:30.166000,0 days 00:00:24.181000,0 days 00:00:35.919000,261.0,285.0,282.0,272.0,False,ULTRASOFT,16.0,True,1.0,10.0,True
2018,1,Australian Grand Prix,2018-03-25,ALO,14,McLaren,18.0,0 days 00:01:30.182000,1.0,,,0 days 00:00:30.081000,0 days 00:00:24.169000,0 days 00:00:35.932000,267.0,281.0,282.0,272.0,False,ULTRASOFT,17.0,True,1.0,10.0,True
2018,1,Australian Grand Prix,2018-03-25,ALO,14,McLaren,19.0,0 days 00:01:29.597000,1.0,,,0 days 00:00:30.043000,0 days 00:00:24.003000,0 days 00:00:35.551000,268.0,285.0,282.0,271.0,True,ULTRASOFT,18.0,True,1.0,10.0,True
2018,1,Australian Grand Prix,2018-03-25,ALO,14,McLaren,20.0,0 days 00:01:29.617000,1.0,,,0 days 00:00:29.970000,0 days 00:00:23.960000,0 days 00:00:35.687000,267.0,290.0,283.0,285.0,False,ULTRASOFT,19.0,True,1.0,10.0,True
2018,1,Australian Grand Prix,2018-03-25,ALO,14,McLaren,21.0,0 days 00:01:29.865000,1.0,,,0 days 00:00:30.151000,0 days 00:00:23.997000,0 days 00:00:35.717000,270.0,294.0,292.0,288.0,False,ULTRASOFT,20.0,True,1.0,9.0,True
2018,1,Australian Grand Prix,2018-03-25,ALO,14,McLaren,22.0,0 days 00:01:29.626000,1.0,,,0 days 00:00:30.021000,0 days 00:00:24.244000,0 days 00:00:35.361000,268.0,282.0,280.0,298.0,False,ULTRASOFT,21.0,True,1.0,7.0,True
2018,1,Australian Grand Prix,2018-03-25,ALO,14,McLaren,23.0,0 days 00:01:28.803000,1.0,,,0 days 00:00:29.590000,0 days 00:00:23.930000,0 days 00:00:35.283000,269.0,284.0,279.0,285.0,True,ULTRASOFT,22.0,True,12.0,7.0,True
2018,1,Australian Grand Prix,2018-03-25,ALO,14,McLaren,24.0,0 days 00:01:29.177000,1.0,,,0 days 00:00:29.929000,0 days 00:00:23.866000,0 days 00:00:35.382000,270.0,288.0,280.0,284.0,False,ULTRASOFT,23.0,True,12.0,5.0,True
2018,1,Australian Grand Prix,2018-03-25,ALO,14,McLaren,25.0,0 days 00:01:29.137000,1.0,,,0 days 00:00:29.631000,0 days 00:00:24.002000,0 days 00:00:35.504000,268.0,285.0,280.0,284.0,False,ULTRASOFT,24.0,True,12.0,5.0,True
2018,1,Australian Grand Prix,2018-03-25,ALO,14,McLaren,26.0,0 days 00:02:20.530000,1.0,,0 days 00:46:59.732000,0 days 00:00:42.712000,0 days 00:00:32.073000,0 days 00:01:05.745000,168.0,205.0,,246.0,False,ULTRASOFT,25.0,True,26.0,5.0,False
