DriverNumber,FullName,Abbreviation,TeamName,Position,GridPosition,Status,Points,Laps,Year,RoundNumber
2,Stoffel Vandoorne,VAN,McLaren,15.0,18.0,+1 Lap,0.0,43.0,2018,13
3,Daniel Ricciardo,RIC,Red Bull Racing,16.0,8.0,Retired,0.0,28.0,2018,13
7,Kimi Räikkönen,RAI,Ferrari,17.0,6.0,Brakes,0.0,8.0,2018,13
16,Charles Leclerc,LEC,Sauber,18.0,12.0,Accident,0.0,0.0,2018,13
14,Fernando Alonso,ALO,McLaren,19.0,15.0,Accident,0.0,0.0,2018,13
27,Nico Hulkenberg,HUL,Renault,20.0,20.0,Accident,0.0,0.0,2018,13
18,Lance Stroll,STR,Williams,9.0,10.0,+1 Lap,2.0,52.0,2018,14
35,Sergey Sirotkin,SIR,Williams,10.0,12.0,+1 Lap,1.0,52.0,2018,14
16,Charles Leclerc,LEC,Sauber,11.0,15.0,+1 Lap,0.0,52.0,2018,14
2,Stoffel Vandoorne,VAN,McLaren,12.0,17.0,+1 Lap,0.0,52.0,2018,14
27,Nico Hulkenberg,HUL,Renault,13.0,20.0,+1 Lap,0.0,52.0,2018,14
10,Pierre Gasly,GAS,Toro Rosso,14.0,9.0,+1 Lap,0.0,52.0,2018,14
9,Marcus Ericsson,ERI,Sauber,15.0,18.0,+1 Lap,0.0,52.0,2018,14
20,Kevin Magnussen,MAG,Haas F1 Team,16.0,11.0,+1 Lap,0.0,52.0,2018,14
3,Daniel Ricciardo,RIC,Red Bull Racing,17.0,19.0,Engine,0.0,23.0,2018,14
14,Fernando Alonso,ALO,McLaren,18.0,13.0,Engine,0.0,9.0,2018,14
28,Brendon Hartley,HAR,Toro Rosso,19.0,16.0,Brakes,0.0,0.0,2018,14
8,Romain Grosjean,GRO,Haas F1 Team,20.0,6.0,Disqualified,0.0,53.0,2018,14
55,Carlos Sainz,SAI,Renault,8.0,12.0,+1 Lap,4.0,60.0,2018,15
16,Charles Leclerc,LEC,Sauber,9.0,13.0,+1 Lap,2.0,60.0,2018,15
