Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Year,RoundNumber
0 days 02:32:52.423000,SAI,55,0 days 00:01:16.551000,70.0,5.0,,,0 days 00:00:26.321000,0 days 00:00:27.329000,0 days 00:00:22.901000,0 days 02:32:02.242000,0 days 02:32:29.571000,0 days 02:32:52.472000,293.0,283.0,335.0,292.0,False,SOFT,8.0,False,2025,15
0 days 02:34:07.686000,SAI,55,0 days 00:01:15.263000,71.0,5.0,,,0 days 00:00:26.148000,0 days 00:00:26.850000,0 days 00:00:22.265000,0 days 02:33:18.620000,0 days 02:33:45.470000,0 days 02:34:07.735000,292.0,275.0,318.0,312.0,False,SOFT,9.0,False,2025,15
0 days 02:35:21.527000,SAI,55,0 days 00:01:13.841000,72.0,5.0,,,0 days 00:00:25.026000,0 days 00:00:26.464000,0 days 00:00:22.351000,0 days 02:34:32.761000,0 days 02:34:59.225000,0 days 02:35:21.576000,293.0,284.0,323.0,319.0,False,SOFT,10.0,False,2025,15
0 days 00:57:55.794000,HAD,6,0 days 00:01:21.492000,1.0,1.0,,,,0 days 00:00:27.213000,0 days 00:00:23.147000,,0 days 00:57:32.738000,0 days 00:57:55.956000,284.0,267.0,298.0,218.0,False,MEDIUM,1.0,True,2025,15
0 days 00:59:12.344000,HAD,6,0 days 00:01:16.550000,2.0,1.0,,,0 days 00:00:26.203000,0 days 00:00:27.711000,0 days 00:00:22.636000,0 days 00:58:22.033000,0 days 00:58:49.744000,0 days 00:59:12.380000,285.0,276.0,314.0,305.0,True,MEDIUM,2.0,True,2025,15
0 days 01:00:28.973000,HAD,6,0 days 00:01:16.629000,3.0,1.0,,,0 days 00:00:26.100000,0 days 00:00:27.753000,0 days 00:00:22.776000,0 days 00:59:38.480000,0 days 01:00:06.233000,0 days 01:00:29.009000,286.0,266.0,298.0,286.0,False,MEDIUM,3.0,True,2025,15
0 days 01:01:45.050000,HAD,6,0 days 00:01:16.077000,4.0,1.0,,,0 days 00:00:25.855000,0 days 00:00:27.557000,0 days 00:00:22.665000,0 days 01:00:54.864000,0 days 01:01:22.421000,0 days 01:01:45.086000,284.0,266.0,298.0,293.0,True,MEDIUM,4.0,True,2025,15
0 days 01:03:01.050000,HAD,6,0 days 00:01:16,5.0,1.0,,,0 days 00:00:25.760000,0 days 00:00:27.557000,0 days 00:00:22.683000,0 days 01:02:10.846000,0 days 01:02:38.403000,0 days 01:03:01.086000,286.0,266.0,298.0,285.0,True,MEDIUM,5.0,True,2025,15
0 days 01:04:16.955000,HAD,6,0 days 00:01:15.905000,6.0,1.0,,,0 days 00:00:25.601000,0 days 00:00:27.634000,0 days 00:00:22.670000,0 days 01:03:26.687000,0 days 01:03:54.321000,0 days 01:04:16.991000,285.0,265.0,298.0,292.0,True,MEDIUM,6.0,True,2025,15
0 days 01:05:32.544000,HAD,6,0 days 00:01:15.589000,7.0,1.0,,,0 days 00:00:25.466000,0 days 00:00:27.501000,0 days 00:00:22.622000,0 days 01:04:42.457000,0 days 01:05:09.958000,0 days 01:05:32.580000,286.0,265.0,298.0,295.0,True,MEDIUM,7.0,True,2025,15
0 days 01:06:48.083000,HAD,6,0 days 00:01:15.539000,8.0,1.0,,,0 days 00:00:25.464000,0 days 00:00:27.455000,0 days 00:00:22.620000,0 days 01:05:58.044000,0 days 01:06:25.499000,0 days 01:06:48.119000,286.0,267.0,299.0,292.0,True,MEDIUM,8.0,True,2025,15
0 days 01:08:03.683000,HAD,6,0 days 00:01:15.600000,9.0,1.0,,,0 days 00:00:25.456000,0 days 00:00:27.431000,0 days 00:00:22.713000,0 days 01:07:13.575000,0 days 01:07:41.006000,0 days 01:08:03.719000,286.0,266.0,298.0,298.0,False,MEDIUM,9.0,True,2025,15
0 days 01:09:19.758000,HAD,6,0 days 00:01:16.075000,10.0,1.0,,,0 days 00:00:25.690000,0 days 00:00:27.669000,0 days 00:00:22.716000,0 days 01:08:29.409000,0 days 01:08:57.078000,0 days 01:09:19.794000,285.0,266.0,298.0,292.0,False,MEDIUM,10.0,True,2025,15
0 days 01:10:35.635000,HAD,6,0 days 00:01:15.877000,11.0,1.0,,,0 days 00:00:25.582000,0 days 00:00:27.528000,0 days 00:00:22.767000,0 days 01:09:45.376000,0 days 01:10:12.904000,0 days 01:10:35.671000,285.0,265.0,299.0,292.0,False,MEDIUM,11.0,True,2025,15
0 days 01:11:51.701000,HAD,6,0 days 00:01:16.066000,12.0,1.0,,,0 days 00:00:25.550000,0 days 00:00:27.657000,0 days 00:00:22.859000,0 days 01:11:01.221000,0 days 01:11:28.878000,0 days 01:11:51.737000,286.0,265.0,299.0,296.0,False,MEDIUM,12.0,True,2025,15
0 days 01:13:07.699000,HAD,6,0 days 00:01:15.998000,13.0,1.0,,,0 days 00:00:25.577000,0 days 00:00:27.608000,0 days 00:00:22.813000,0 days 01:12:17.314000,0 days 01:12:44.922000,0 days 01:13:07.735000,286.0,265.0,298.0,295.0,False,MEDIUM,13.0,True,2025,15
0 days 01:14:23.774000,HAD,6,0 days 00:01:16.075000,14.0,1.0,,,0 days 00:00:25.556000,0 days 00:00:27.706000,0 days 00:00:22.813000,0 days 01:13:33.291000,0 days 01:14:00.997000,0 days 01:14:23.810000,286.0,265.0,298.0,297.0,False,MEDIUM,14.0,True,2025,15
0 days 01:15:40.209000,HAD,6,0 days 00:01:16.435000,15.0,1.0,,,0 days 00:00:25.625000,0 days 00:00:27.874000,0 days 00:00:22.936000,0 days 01:14:49.435000,0 days 01:15:17.309000,0 days 01:15:40.245000,287.0,265.0,298.0,296.0,False,MEDIUM,15.0,True,2025,15
0 days 01:16:56.476000,HAD,6,0 days 00:01:16.267000,16.0,1.0,,,0 days 00:00:25.605000,0 days 00:00:27.821000,0 days 00:00:22.841000,0 days 01:16:05.850000,0 days 01:16:33.671000,0 days 01:16:56.512000,286.0,265.0,298.0,300.0,False,MEDIUM,16.0,True,2025,15
