Time,Driver,DriverNumber,LapNumber,Stint,PitInTime,PitOutTime,Compound,TyreLife,FreshTyre,Team,LapStartTime,TrackStatus,Position,Year,RoundNumber
0 days 02:03:44.227000,HAM,44,34.0,2.0,0 days 02:03:42.967000,,HARD,18.0,True,Mercedes,0 days 02:02:03.374000,1,6.0,2023,16
0 days 02:05:39.943000,HAM,44,35.0,3.0,,0 days 02:04:06.514000,HARD,1.0,True,Mercedes,0 days 02:03:44.227000,1,7.0,2023,16
0 days 01:37:04.796000,SAI,55,18.0,1.0,0 days 01:37:03.574000,,MEDIUM,18.0,True,Ferrari,0 days 01:35:22.992000,1,1.0,2023,16
0 days 01:39:02.162000,SAI,55,19.0,2.0,,0 days 01:37:26.526000,MEDIUM,1.0,True,Ferrari,0 days 01:37:04.796000,1,8.0,2023,16
0 days 02:10:15.982000,SAI,55,38.0,2.0,0 days 02:10:14.757000,,MEDIUM,20.0,True,Ferrari,0 days 02:08:34.562000,1,2.0,2023,16
0 days 02:12:12.146000,SAI,55,39.0,3.0,,0 days 02:10:38.038000,HARD,1.0,True,Ferrari,0 days 02:10:15.982000,1,7.0,2023,16
0 days 01:47:05.747000,RUS,63,24.0,1.0,0 days 01:47:04.641000,,MEDIUM,24.0,True,Mercedes,0 days 01:45:24.345000,1,4.0,2023,16
0 days 01:49:03.861000,RUS,63,25.0,2.0,,0 days 01:47:28.563000,HARD,1.0,True,Mercedes,0 days 01:47:05.747000,1,7.0,2023,16
0 days 01:25:11.313000,ALO,14,11.0,1.0,0 days 01:25:10.086000,,SOFT,14.0,False,Aston Martin,0 days 01:23:28.993000,1,7.0,2023,16
0 days 01:27:09.835000,ALO,14,12.0,2.0,,0 days 01:25:34.102000,HARD,1.0,True,Aston Martin,0 days 01:25:11.313000,12,12.0,2023,16
0 days 01:49:07.888000,ALO,14,25.0,2.0,0 days 01:49:06.717000,,HARD,14.0,True,Aston Martin,0 days 01:47:24.208000,1,9.0,2023,16
0 days 01:51:04.523000,ALO,14,26.0,3.0,,0 days 01:49:30.857000,HARD,1.0,True,Aston Martin,0 days 01:49:07.888000,1,12.0,2023,16
0 days 01:05:45.897000,OCO,31,1.0,1.0,0 days 01:05:44.560000,,MEDIUM,1.0,True,Alpine,0 days 01:03:03.844000,124,19.0,2023,16
0 days 01:08:10.416000,OCO,31,2.0,2.0,,0 days 01:06:11.528000,HARD,1.0,True,Alpine,0 days 01:05:45.897000,4,16.0,2023,16
0 days 01:54:09.028000,OCO,31,28.0,2.0,0 days 01:54:07.774000,,HARD,27.0,True,Alpine,0 days 01:52:26.127000,1,9.0,2023,16
0 days 01:56:06.899000,OCO,31,29.0,3.0,,0 days 01:54:31.493000,HARD,1.0,True,Alpine,0 days 01:54:09.028000,1,12.0,2023,16
0 days 01:37:21.218000,GAS,10,18.0,1.0,0 days 01:37:19.997000,,MEDIUM,18.0,True,Alpine,0 days 01:35:38.270000,1,8.0,2023,16
0 days 01:39:20.846000,GAS,10,19.0,2.0,,0 days 01:37:44.370000,HARD,1.0,True,Alpine,0 days 01:37:21.218000,1,15.0,2023,16
0 days 02:04:04.279000,GAS,10,34.0,2.0,0 days 02:04:03.029000,,HARD,16.0,True,Alpine,0 days 02:02:22.901000,1,8.0,2023,16
0 days 02:06:03.053000,GAS,10,35.0,3.0,,0 days 02:04:27.607000,HARD,1.0,True,Alpine,0 days 02:04:04.279000,1,11.0,2023,16
0 days 01:23:35.898000,LAW,40,10.0,1.0,0 days 01:23:34.604000,,SOFT,10.0,True,AlphaTauri,0 days 01:21:53.467000,1,10.0,2023,16
0 days 01:25:34.466000,LAW,40,11.0,2.0,,0 days 01:23:57.635000,MEDIUM,1.0,True,AlphaTauri,0 days 01:23:35.898000,1,16.0,2023,16
0 days 01:49:21.060000,LAW,40,25.0,2.0,0 days 01:49:19.779000,,MEDIUM,15.0,True,AlphaTauri,0 days 01:47:38.205000,1,12.0,2023,16
0 days 01:51:19.887000,LAW,40,26.0,3.0,,0 days 01:49:43.357000,HARD,1.0,True,AlphaTauri,0 days 01:49:21.060000,1,15.0,2023,16
0 days 01:21:57.307000,TSU,22,9.0,1.0,0 days 01:21:56.152000,,SOFT,12.0,False,AlphaTauri,0 days 01:20:14.911000,1,12.0,2023,16
0 days 01:23:54.687000,TSU,22,10.0,2.0,,0 days 01:22:18.949000,MEDIUM,1.0,True,AlphaTauri,0 days 01:21:57.307000,1,17.0,2023,16
0 days 01:57:41.957000,TSU,22,30.0,2.0,0 days 01:57:40.708000,,MEDIUM,21.0,True,AlphaTauri,0 days 01:55:59.260000,1,10.0,2023,16
