Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap,Season,Round,EventName
2021-04-18 13:44:01,Flag,WAVED BLUE FLAG FOR CAR 47 (MSC) TIMED AT 15:44:01,,BLUE,Driver,,47,25.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:44:03,Flag,WAVED BLUE FLAG FOR CAR 22 (TSU) TIMED AT 15:44:03,,BLUE,Driver,,22,25.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:44:22,Flag,WAVED BLUE FLAG FOR CAR 5 (VET) TIMED AT 15:44:21,,BLUE,Driver,,5,25.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:44:48,Flag,WAVED BLUE FLAG FOR CAR 22 (TSU) TIMED AT 15:44:48,,BLUE,Driver,,22,25.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:45:00,Flag,WAVED BLUE FLAG FOR CAR 9 (MAZ) TIMED AT 15:44:59,,BLUE,Driver,,9,25.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:45:48,Flag,WAVED BLUE FLAG FOR CAR 47 (MSC) TIMED AT 15:45:47,,BLUE,Driver,,47,26.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:46:24,Flag,WAVED BLUE FLAG FOR CAR 9 (MAZ) TIMED AT 15:46:24,,BLUE,Driver,,9,26.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:46:38,Flag,WAVED BLUE FLAG FOR CAR 9 (MAZ) TIMED AT 15:46:37,,BLUE,Driver,,9,27.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:46:55,Flag,WAVED BLUE FLAG FOR CAR 99 (GIO) TIMED AT 15:46:55,,BLUE,Driver,,99,27.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:47:17,Flag,WAVED BLUE FLAG FOR CAR 99 (GIO) TIMED AT 15:47:17,,BLUE,Driver,,99,27.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:47:38,Flag,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 15:47:37,,BLUE,Driver,,10,27.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:47:56,Flag,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 15:47:55,,BLUE,Driver,,14,27.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:49:29,Flag,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 15:49:28,,BLUE,Driver,,10,28.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:49:35,Flag,WAVED BLUE FLAG FOR CAR 47 (MSC) TIMED AT 15:49:34,,BLUE,Driver,,47,29.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:49:45,Flag,WAVED BLUE FLAG FOR CAR 7 (RAI) TIMED AT 15:49:44,,BLUE,Driver,,7,29.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:50:37,Flag,WAVED BLUE FLAG FOR CAR 5 (VET) TIMED AT 15:50:36,,BLUE,Driver,,5,29.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:50:47,Flag,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 15:50:46,,BLUE,Driver,,10,29.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:51:15,Flag,WAVED BLUE FLAG FOR CAR 63 (RUS) TIMED AT 15:51:14,,BLUE,Driver,,63,29.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:51:53,Flag,WAVED BLUE FLAG FOR CAR 47 (MSC) TIMED AT 15:51:53,,BLUE,Driver,,47,30.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:52:17,Flag,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:52:17,,BLUE,Driver,,18,30.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:52:21,Flag,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:52:20,,BLUE,Driver,,77,30.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:52:24,Flag,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 15:52:24,,BLUE,Driver,,31,30.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:52:29,Drs,DRS ENABLED,ENABLED,,,,,30.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:52:29,Flag,WAVED BLUE FLAG FOR CAR 7 (RAI) TIMED AT 15:52:29,,BLUE,Driver,,7,30.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:53:11,Flag,WAVED BLUE FLAG FOR CAR 63 (RUS) TIMED AT 15:53:10,,BLUE,Driver,,63,31.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:53:31,Flag,YELLOW IN TRACK SECTOR 8,,YELLOW,Sector,8.0,,31.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:54:25,Flag,YELLOW IN TRACK SECTOR 4,,YELLOW,Sector,4.0,,32.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:54:26,Other,DRS DISABLED IN ZONE 1,,,,,,32.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:54:26,Flag,DOUBLE YELLOW IN TRACK SECTOR 4,,DOUBLE YELLOW,Sector,4.0,,32.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:54:27,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,32.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:54:30,Flag,YELLOW IN TRACK SECTOR 3,,YELLOW,Sector,3.0,,32.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:54:44,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,32.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:57:41,Flag,RED FLAG,,RED,Track,,,33.0,2021,2,Emilia Romagna Grand Prix
